Date,Price
2016-10-04,1266.49
2016-10-03,1267.93
2016-10-02,1311.78
2016-09-29,1316.06
2016-09-28,1320.58
2016-09-27,1321.83
2016-09-26,1326.98
2016-09-25,1337.66
2016-09-22,1338.85
2016-09-21,1336.85
2016-09-20,1335.27
2016-09-19,1314.77
2016-09-18,1313.29
2016-09-15,1309.73
2016-09-14,1314.15
2016-09-13,1322.52
2016-09-12,1318.44
2016-09-11,1327.55
2016-09-08,1328.03
2016-09-07,1337.6
2016-09-06,1344.77
2016-09-05,1349.89
2016-09-04,1326.98
2016-09-01,1324.87
2016-08-31,1313.52
2016-08-30,1308.8
2016-08-29,1311.11
2016-08-28,1323.06
2016-08-25,1321.89
2016-08-24,1321.49
2016-08-23,1324.37
2016-08-22,1337.75
2016-08-21,1338.7
2016-08-18,1341.04
2016-08-17,1352.62
2016-08-16,1348.46
2016-08-15,1346.28
2016-08-14,1339.4
2016-08-11,1336.75
2016-08-10,1338.66
2016-08-09,1346.42
2016-08-08,1340.32
2016-08-07,1335.38
2016-08-04,1337.05
2016-08-03,1361.25
2016-08-02,1357.9
2016-08-01,1363.39
2016-07-31,1352.79
2016-07-28,1351.22
2016-07-27,1335.32
2016-07-26,1340
2016-07-25,1320.19
2016-07-24,1315.68
2016-07-21,1322.54
2016-07-20,1331.04
2016-07-19,1315.81
2016-07-18,1331.85
2016-07-17,1328.7
2016-07-14,1338.41
2016-07-13,1334.96
2016-07-12,1342.48
2016-07-11,1332.83
2016-07-10,1355.17
2016-07-07,1365.13
2016-07-06,1360.63
2016-07-05,1363.55
2016-07-04,1353.75
2016-07-03,1350.88
2016-06-30,1342.57
2016-06-29,1322.19
2016-06-28,1318.87
2016-06-27,1311.73
2016-06-26,1324.26
2016-06-23,1315.78
2016-06-22,1256.33
2016-06-21,1266.09
2016-06-20,1267.93
2016-06-19,1289.59
2016-06-16,1298.67
2016-06-15,1278.56
2016-06-14,1291.64
2016-06-13,1285.48
2016-06-12,1283.57
2016-06-09,1274.19
2016-06-08,1269.43
2016-06-07,1262.54
2016-06-06,1243.74
2016-06-05,1245.17
2016-06-02,1244.65
2016-06-01,1210.88
2016-05-31,1212.82
2016-05-30,1215.31
2016-05-29,1205
2016-05-26,1211.76
2016-05-25,1219.7
2016-05-24,1224.12
2016-05-23,1227.08
2016-05-22,1248.92
2016-05-19,1252.03
2016-05-18,1254.38
2016-05-17,1258.38
2016-05-16,1278.71
2016-05-15,1274.09
2016-05-12,1273.41
2016-05-11,1263.69
2016-05-10,1277.16
2016-05-09,1265.49
2016-05-08,1263.8
2016-05-05,1288.91
2016-05-04,1276.91
2016-05-03,1277.42
2016-05-02,1286.57
2016-05-01,1291.55
2016-04-28,1293.77
2016-04-27,1265.67
2016-04-26,1245.63
2016-04-25,1243.23
2016-04-24,1237.85
2016-04-21,1232.85
2016-04-20,1247.93
2016-04-19,1244.12
2016-04-18,1250.17
2016-04-17,1232.39
2016-04-14,1233.86
2016-04-13,1227.73
2016-04-12,1242.35
2016-04-11,1255.4
2016-04-10,1257.76
2016-04-07,1240.61
2016-04-06,1240.27
2016-04-05,1222.43
2016-04-04,1231.09
2016-04-03,1215.54
2016-03-31,1222.27
2016-03-30,1232.53
2016-03-29,1223.93
2016-03-28,1242.06
2016-03-27,1221.5
2016-03-23,1216.92
2016-03-22,1219.9
2016-03-21,1248.3
2016-03-20,1243.63
2016-03-17,1255.34
2016-03-16,1257.81
2016-03-15,1262.38
2016-03-14,1232.46
2016-03-13,1235.19
2016-03-10,1249.48
2016-03-09,1272.1
2016-03-08,1253.16
2016-03-07,1261.5
2016-03-06,1267.17
2016-03-03,1258.98
2016-03-02,1264.1
2016-03-01,1239.82
2016-02-29,1231.99
2016-02-28,1238.38
2016-02-25,1223.44
2016-02-24,1232.87
2016-02-23,1228.64
2016-02-22,1225.47
2016-02-21,1208.47
2016-02-18,1227.45
2016-02-17,1230.68
2016-02-16,1208.28
2016-02-15,1200.34
2016-02-14,1208.54
2016-02-11,1238.18
2016-02-10,1246.59
2016-02-09,1196.96
2016-02-08,1188.98
2016-02-07,1189
2016-02-04,1173.27
2016-02-03,1155.42
2016-02-02,1142.38
2016-02-01,1128.81
2016-01-31,1128.3
2016-01-28,1118.14
2016-01-27,1113.9
2016-01-26,1124.71
2016-01-25,1119.6
2016-01-24,1107.75
2016-01-21,1097.87
2016-01-20,1101.13
2016-01-19,1100.74
2016-01-18,1087.27
2016-01-17,1089.21
2016-01-14,1088.69
2016-01-13,1078.07
2016-01-12,1093.37
2016-01-11,1086.47
2016-01-10,1093.95
2016-01-07,1103.92
2016-01-06,1108.76
2016-01-05,1093.61
2016-01-04,1077.51
2016-01-03,1074.35
2015-12-30,1061.06
2015-12-29,1061.29
2015-12-28,1068.9
2015-12-27,1068.66
2015-12-23,1075.82
2015-12-22,1070.03
2015-12-21,1072.59
2015-12-20,1078.28
2015-12-17,1065.97
2015-12-16,1051.04
2015-12-15,1072.05
