Date,Price
11/16/15,1070.11
11/15/15,1082.63
11/12/15,1083.66
11/11/15,1085.18
11/10/15,1086.28
11/09/15,1089.69
11/08/15,1092.22
11/05/15,1088.83
11/04/15,1103.75
11/03/15,1107.84
11/02/15,1117.65
11/01/15,1133.37
10/29/15,1142.03
10/28/15,1145.86
10/27/15,1155.97
10/26/15,1166.58
10/25/15,1162.9
10/22/15,1164.45
10/21/15,1165.61
10/20/15,1167.05
10/19/15,1175.93
10/18/15,1170.69
10/15/15,1177.34
10/14/15,1183.06
10/13/15,1184.17
10/12/15,1168.63
10/11/15,1163.61
10/08/15,1156.79
10/07/15,1138.92
10/06/15,1145.43
10/05/15,1146.99
10/04/15,1135.65
10/01/15,1138.75
09/30/15,1113.53
09/29/15,1114.93
09/28/15,1127.24
09/27/15,1131.85
09/24/15,1145.64
09/23/15,1153.9
09/22/15,1130.12
09/21/15,1124.67
09/20/15,1133.32
09/17/15,1139.12
09/16/15,1131.33
09/15/15,1119.45
09/14/15,1105.1
09/13/15,1108.84
09/10/15,1107.64
09/09/15,1110.71
09/08/15,1107.61
09/07/15,1121.55
09/06/15,1119.28
09/03/15,1122.32
09/02/15,1125.04
09/01/15,1133.94
08/31/15,1140.1
08/30/15,1134.84
08/27/15,1134.1
08/26/15,1124.75
08/25/15,1125.12
08/24/15,1140.53
08/23/15,1155.02
08/20/15,1160.71
08/19/15,1151.9
08/18/15,1133.92
08/17/15,1117.56
08/16/15,1117.47
08/13/15,1115.02
08/12/15,1115.08
08/11/15,1124.42
08/10/15,1108.89
08/09/15,1104.39
08/06/15,1094.16
08/05/15,1089.44
08/04/15,1084.92
08/03/15,1087.62
08/02/15,1086.69
07/30/15,1095.58
07/29/15,1088.46
07/28/15,1096.9
07/27/15,1095.14
07/26/15,1093.98
07/23/15,1099.21
07/22/15,1090.48
07/21/15,1094.11
07/20/15,1100.89
07/19/15,1096.41
07/16/15,1134.27
07/15/15,1145.31
07/14/15,1149.45
07/13/15,1155.99
07/12/15,1157.9
07/09/15,1163.67
07/08/15,1159.14
07/07/15,1157.93
07/06/15,1154.96
07/05/15,1170.22
07/02/15,1168.68
07/01/15,1166.14
06/30/15,1168.48
06/29/15,1172.17
06/28/15,1179.76
06/25/15,1175.31
06/24/15,1173.02
06/23/15,1175.27
06/22/15,1178.53
06/21/15,1185.89
06/18/15,1200.26
06/17/15,1201.75
06/16/15,1185.54
06/15/15,1181.96
06/14/15,1186.28
06/11/15,1181.54
06/10/15,1181.85
06/09/15,1185.82
06/08/15,1176.77
06/07/15,1174
06/04/15,1171.63
06/03/15,1176.74
06/02/15,1185.02
06/01/15,1192.87
