"","Day","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"302",286,NA,NA,NA,NA,NA,3.147,NA,NA,NA,NA,NA
"250",287,NA,NA,NA,NA,3.296,NA,NA,NA,NA,NA,NA
"511",288,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.806,NA
"198",289,NA,NA,NA,3.713,NA,NA,NA,NA,2.413,NA,NA
"146",290,NA,NA,3.431,NA,NA,NA,NA,NA,NA,NA,NA
"94",291,NA,2.795,NA,NA,NA,NA,NA,2.198,NA,NA,NA
"42",292,2.532,NA,NA,NA,NA,NA,2.22,NA,NA,NA,NA
"303",293,NA,NA,NA,NA,NA,3.07,NA,NA,NA,NA,NA
"251",294,NA,NA,NA,NA,3.31,NA,NA,NA,NA,NA,NA
"512",295,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.763,NA
"199",296,NA,NA,NA,3.582,NA,NA,NA,NA,2.406,NA,NA
"147",297,NA,NA,3.415,NA,NA,NA,NA,NA,NA,NA,NA
"95",298,NA,2.772,NA,NA,NA,NA,NA,2.175,NA,NA,NA
"43",299,2.641,NA,NA,NA,NA,NA,2.166,NA,NA,NA,NA
"304",300,NA,NA,NA,NA,NA,3.016,NA,NA,NA,NA,NA
"252",301,NA,NA,NA,NA,3.235,NA,NA,NA,NA,NA,NA
"513",302,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.732,NA
"200",303,NA,NA,NA,3.48,NA,NA,NA,NA,2.41,NA,NA
"148",304,NA,NA,3.405,NA,NA,NA,NA,NA,NA,NA,NA
"96",305,NA,2.76,NA,NA,NA,NA,NA,2.159,NA,NA,NA
"44",306,2.66,NA,NA,NA,NA,NA,2.17,NA,NA,NA,NA
"305",307,NA,NA,NA,NA,NA,2.956,NA,NA,NA,NA,NA
"253",308,NA,NA,NA,NA,3.209,NA,NA,NA,NA,NA,NA
"514",309,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,NA
"201",310,NA,NA,NA,3.406,NA,NA,NA,NA,2.468,NA,NA
"149",311,NA,NA,3.37,NA,NA,NA,NA,NA,NA,NA,NA
"97",312,NA,2.832,NA,NA,NA,NA,NA,2.157,NA,NA,NA
"45",313,2.627,NA,NA,NA,NA,NA,2.172,NA,NA,NA,NA
"306",314,NA,NA,NA,NA,NA,2.907,NA,NA,NA,NA,NA
"254",315,NA,NA,NA,NA,3.133,NA,NA,NA,NA,NA,NA
"515",316,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.604,NA
"202",317,NA,NA,NA,3.372,NA,NA,NA,NA,2.504,NA,NA
"150",318,NA,NA,3.388,NA,NA,NA,NA,NA,NA,NA,NA
"98",319,NA,2.849,NA,NA,NA,NA,NA,2.105,NA,NA,NA
"46",320,2.585,NA,NA,NA,NA,NA,2.11,NA,NA,NA,NA
"307",321,NA,NA,NA,NA,NA,2.856,NA,NA,NA,NA,NA
"255",322,NA,NA,NA,NA,3.161,NA,NA,NA,NA,NA,NA
"516",323,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.525,NA
"203",324,NA,NA,NA,3.36,NA,NA,NA,NA,2.48,NA,NA
"151",325,NA,NA,3.312,NA,NA,NA,NA,NA,NA,NA,NA
"99",326,NA,2.828,NA,NA,NA,NA,NA,2.078,NA,NA,NA
"47",327,2.603,NA,NA,NA,NA,NA,2.015,NA,NA,NA,NA
"308",328,NA,NA,NA,NA,NA,2.781,NA,NA,NA,NA,NA
"256",329,NA,NA,NA,NA,3.241,NA,NA,NA,NA,NA,NA
"517",330,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.445,NA
"204",331,NA,NA,NA,3.382,NA,NA,NA,NA,2.444,NA,NA
"152",332,NA,NA,3.248,NA,NA,NA,NA,NA,NA,NA,NA
"100",333,NA,2.805,NA,NA,NA,NA,NA,2.079,NA,NA,NA
"48",334,2.594,NA,NA,NA,NA,NA,1.974,NA,NA,NA,NA
"309",335,NA,NA,NA,NA,NA,2.738,NA,NA,NA,NA,NA
"257",336,NA,NA,NA,NA,3.209,NA,NA,NA,NA,NA,NA
"518",337,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,NA
"205",338,NA,NA,NA,3.337,NA,NA,NA,NA,2.41,NA,NA
"153",339,NA,NA,3.24,NA,NA,NA,NA,NA,NA,NA,NA
"101",340,NA,2.917,NA,NA,NA,NA,NA,2.137,NA,NA,NA
"49",341,2.601,NA,NA,NA,NA,NA,1.969,NA,NA,NA,NA
"310",342,NA,NA,NA,NA,NA,2.634,NA,NA,NA,NA,NA
"258",343,NA,NA,NA,NA,3.208,NA,NA,NA,NA,NA,NA
"519",344,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.325,NA
"206",345,NA,NA,NA,3.297,NA,NA,NA,NA,2.401,NA,NA
"154",346,NA,NA,3.244,NA,NA,NA,NA,NA,NA,NA,NA
"102",347,NA,2.937,NA,NA,NA,NA,NA,2.174,NA,NA,NA
"50",348,2.56,NA,NA,NA,NA,NA,1.953,NA,NA,NA,NA
"311",349,NA,NA,NA,NA,NA,2.499,NA,NA,NA,NA,NA
"259",350,NA,NA,NA,NA,3.165,NA,NA,NA,NA,NA,NA
"520",351,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.268,NA
"207",352,NA,NA,NA,3.198,NA,NA,NA,NA,2.358,NA,NA
"155",353,NA,NA,3.183,NA,NA,NA,NA,NA,NA,NA,NA
"103",354,NA,2.934,NA,NA,NA,NA,NA,2.203,NA,NA,NA
"51",355,2.546,NA,NA,NA,NA,NA,1.929,NA,NA,NA,NA
"312",356,NA,NA,NA,NA,NA,2.341,NA,NA,NA,NA,NA
"260",357,NA,NA,NA,NA,3.198,NA,NA,NA,NA,NA,NA
"521",358,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.216,NA
"208",359,NA,NA,NA,3.205,NA,NA,NA,NA,2.384,NA,NA
"156",360,NA,NA,3.213,NA,NA,NA,NA,NA,NA,NA,NA
